,energylevel_minimum,energylevel_maximum,power_minimum,power_maximum,energy_left,id
2022-01-05 00:00:00+01:00,66.785,1054.5,0.0,1406.0,0.0,19900.0
2022-01-05 01:00:00+01:00,365.56,2460.5,0.0,1406.0,15.817499999999999,19900.0
2022-01-05 02:00:00+01:00,826.025,3866.5,0.0,1406.0,36.9075,19900.0
2022-01-05 03:00:00+01:00,1384.91,5272.5,0.0,1406.0,57.9975,19900.0
2022-01-05 04:00:00+01:00,2079.1225,6676.742499999999,0.0,1406.0,79.0875,19900.0
2022-01-05 05:00:00+01:00,2807.38,7457.8,0.0,1398.97,98.41999999999999,19900.0
2022-01-05 06:00:00+01:00,2983.29,7012.5,0.0,1314.6100000000001,445.29999999999995,19900.0
2022-01-05 07:00:00+01:00,2162.4375,5737.5,0.0,1075.5900000000001,1275.0,19900.0
2022-01-05 08:00:00+01:00,1825.57,5025.0,0.0,942.02,712.5,19900.0
2022-01-05 09:00:00+01:00,1443.0275,4387.5,0.0,822.51,637.5,19900.0
2022-01-05 10:00:00+01:00,923.36,3714.2575,0.0,703.0,675.0,19900.0
2022-01-05 11:00:00+01:00,538.8675,3243.547,0.0,660.82,487.5,19900.0
2022-01-05 12:00:00+01:00,374.4265,3040.628,0.0,667.85,229.5475,19900.0
2022-01-05 13:00:00+01:00,233.00599999999997,2884.2415,0.0,674.88,196.91899999999998,19900.0
2022-01-05 14:00:00+01:00,175.26400000000004,2838.9505,0.0,759.24,92.40599999999996,19900.0
2022-01-05 15:00:00+01:00,117.46849999999998,2827.6885,0.0,857.6600000000001,83.87400000000005,19900.0
2022-01-05 16:00:00+01:00,60.19100000000001,2841.8375,0.0,934.99,85.83349999999997,19900.0
2022-01-05 17:00:00+01:00,73.54449999999996,2891.19,0.0,956.08,19.76850000000001,19900.0
2022-01-05 18:00:00+01:00,55.117499999999964,2932.496,0.0,1012.32,54.21199999999996,19900.0
2022-01-05 19:00:00+01:00,45.70449999999998,3023.8815,0.0,1068.56,26.99749999999996,19900.0
2022-01-05 20:00:00+01:00,14.007000000000032,3108.9680000000003,0.0,1159.95,38.67449999999998,19900.0
2022-01-05 21:00:00+01:00,0.0,3175.367,0.0,1188.07,14.007000000000032,19900.0
2022-01-05 22:00:00+01:00,0.0,3235.534,0.0,1279.46,0.0,19900.0
2022-01-05 23:00:00+01:00,0.0,3333.7135000000003,0.0,1363.82,0.0,19900.0
2022-01-06 00:00:00+01:00,21.09,3391.9525000000003,0.0,1363.82,0.0,19900.0
2022-01-06 01:00:00+01:00,98.42,3428.242,0.0,1391.94,0.0,19900.0
2022-01-06 02:00:00+01:00,244.2925,3470.0570000000002,0.0,1406.0,0.0,19900.0
2022-01-06 03:00:00+01:00,456.95,3498.4225,0.0,1406.0,0.0,19900.0
2022-01-06 04:00:00+01:00,732.003,3510.837,0.0,1406.0,0.0,19900.0
2022-01-06 05:00:00+01:00,1036.4035,3481.8340000000003,0.0,1398.97,29.003,19900.0
2022-01-06 06:00:00+01:00,1189.1435000000001,3310.1205,0.0,1342.73,171.7135,19900.0
2022-01-06 07:00:00+01:00,1135.922,2948.6905,0.0,1209.16,364.876,19900.0
2022-01-06 08:00:00+01:00,941.4295000000001,2505.2235,0.0,1026.38,443.4670000000001,19900.0
2022-01-06 09:00:00+01:00,754.5669999999999,2138.932,0.0,878.75,368.4845,19900.0
2022-01-06 10:00:00+01:00,508.92299999999994,1789.1280000000002,0.0,717.0600000000001,357.37199999999996,19900.0
2022-01-06 11:00:00+01:00,348.3614999999999,1561.5925000000002,0.0,667.85,234.75299999999996,19900.0
2022-01-06 12:00:00+01:00,125.00750000000004,1314.9265000000003,0.0,625.6700000000001,265.75899999999996,19900.0
2022-01-06 13:00:00+01:00,136.993,1322.2195000000002,0.0,653.7900000000001,24.83000000000004,19900.0
2022-01-06 14:00:00+01:00,134.7365,1331.305,0.0,695.97,33.3005,19900.0
2022-01-06 15:00:00+01:00,85.31899999999996,1304.613,0.0,752.21,96.0715,19900.0
2022-01-06 16:00:00+01:00,28.576999999999956,1330.9385,0.0,836.57,78.28899999999996,19900.0
2022-01-06 17:00:00+01:00,33.041000000000025,1404.0020000000002,0.0,913.9,26.819499999999955,19900.0
2022-01-06 18:00:00+01:00,58.5485,1520.9620000000002,0.0,1040.44,15.46600000000003,19900.0
2022-01-06 19:00:00+01:00,45.003000000000036,1615.3360000000002,0.0,1138.8600000000001,35.70099999999999,19900.0
2022-01-06 20:00:00+01:00,9.566000000000033,1698.2965000000002,0.0,1188.07,41.488000000000035,19900.0
2022-01-06 21:00:00+01:00,5.2725,1803.4195000000002,0.0,1300.55,9.566000000000033,19900.0
2022-01-06 22:00:00+01:00,15.8175,1898.5695000000003,0.0,1349.76,5.2725,19900.0
2022-01-06 23:00:00+01:00,31.635,1978.5895000000003,0.0,1370.8500000000001,12.3025,19900.0
2022-01-07 00:00:00+01:00,63.27,2040.1020000000003,0.0,1391.94,19.3325,19900.0
2022-01-07 01:00:00+01:00,115.99499999999999,2100.4555000000005,0.0,1391.94,26.3625,19900.0
2022-01-07 02:00:00+01:00,186.29500000000002,2151.5575000000003,0.0,1406.0,33.3925,19900.0
2022-01-07 03:00:00+01:00,277.685,2200.213,0.0,1406.0,40.4225,19900.0
2022-01-07 04:00:00+01:00,397.195,2238.391,0.0,1406.0,47.4525,19900.0
2022-01-07 05:00:00+01:00,630.9625,2273.541,0.0,1406.0,54.4825,19900.0
2022-01-07 06:00:00+01:00,700.3645,2124.7785000000003,0.0,1377.88,174.0125,19900.0
2022-01-07 07:00:00+01:00,617.9205000000001,1897.1815000000001,0.0,1166.98,248.68700000000004,19900.0
2022-01-07 08:00:00+01:00,441.6105,1608.5585,0.0,977.1700000000001,303.3280000000001,19900.0
2022-01-07 09:00:00+01:00,373.2085,1433.8780000000002,0.0,892.8100000000001,192.04550000000003,19900.0
2022-01-07 10:00:00+01:00,245.96249999999998,1256.95,0.0,759.24,195.70100000000002,19900.0
2022-01-07 11:00:00+01:00,106.24650000000008,1086.7675000000002,0.0,674.88,191.48,19900.0
2022-01-07 12:00:00+01:00,103.9219999999999,1091.801,0.0,660.82,41.21900000000009,19900.0
2022-01-07 13:00:00+01:00,85.76149999999998,1088.2175,0.0,717.0600000000001,35.3794999999999,19900.0
2022-01-07 14:00:00+01:00,24.899999999999988,1059.9944999999998,0.0,745.1800000000001,82.2465,19900.0
2022-01-07 15:00:00+01:00,57.31199999999996,1122.5475,0.0,857.6600000000001,7.324999999999989,19900.0
2022-01-07 16:00:00+01:00,67.33400000000003,1162.8235,0.0,913.9,34.46449999999996,19900.0
2022-01-07 17:00:00+01:00,36.05299999999998,1204.23,0.0,970.14,63.81900000000004,19900.0
2022-01-07 18:00:00+01:00,54.93099999999997,1305.29,0.0,1075.5900000000001,16.72049999999998,19900.0
2022-01-07 19:00:00+01:00,14.258999999999986,1350.119,0.0,1138.8600000000001,47.900999999999975,19900.0
2022-01-07 20:00:00+01:00,6.494999999999976,1459.0925,0.0,1230.25,14.258999999999986,19900.0
2022-01-07 21:00:00+01:00,0.0,1570.653,0.0,1300.55,6.494999999999976,19900.0
2022-01-07 22:00:00+01:00,0.0,1644.046,0.0,1335.7,0.0,19900.0
2022-01-07 23:00:00+01:00,0.0,1682.7375000000002,0.0,1363.82,0.0,19900.0
2022-01-08 00:00:00+01:00,0.0,1708.6650000000002,0.0,1391.94,0.0,19900.0
2022-01-08 01:00:00+01:00,5.2725,1725.3270000000002,0.0,1406.0,0.0,19900.0
2022-01-08 02:00:00+01:00,15.8175,1737.0905000000002,0.0,1406.0,0.0,19900.0
2022-01-08 03:00:00+01:00,38.665,1744.1205000000002,0.0,1406.0,0.0,19900.0
2022-01-08 04:00:00+01:00,67.12700000000001,1751.1505000000002,0.0,1406.0,0.0,19900.0
2022-01-08 05:00:00+01:00,96.12149999999997,1747.2935000000002,0.0,1398.97,10.887000000000016,19900.0
2022-01-08 06:00:00+01:00,139.30449999999996,1747.8345000000002,0.0,1391.94,6.488999999999976,19900.0
2022-01-08 07:00:00+01:00,187.9385,1743.8575,0.0,1370.8500000000001,11.006999999999977,19900.0
2022-01-08 08:00:00+01:00,281.4215000000001,1743.9715,0.0,1363.82,6.915999999999997,19900.0
2022-01-08 09:00:00+01:00,269.49799999999993,1647.0875,0.0,1300.55,103.91400000000007,19900.0
2022-01-08 10:00:00+01:00,288.6980000000001,1575.3375,0.0,1230.25,79.68799999999993,19900.0
2022-01-08 11:00:00+01:00,316.74399999999997,1513.4440000000002,0.0,1195.1000000000001,76.04050000000008,19900.0
2022-01-08 12:00:00+01:00,176.54800000000006,1338.1035000000002,0.0,1082.6200000000001,197.23399999999998,19900.0
2022-01-08 13:00:00+01:00,212.70200000000003,1335.1680000000001,0.0,1082.6200000000001,32.433000000000035,19900.0
2022-01-08 14:00:00+01:00,227.545,1322.989,0.0,1089.65,54.527000000000044,19900.0
2022-01-08 15:00:00+01:00,157.3475,1215.455,0.0,1054.5,125.60999999999999,19900.0
2022-01-08 16:00:00+01:00,131.214,1174.8745000000001,0.0,1040.44,65.9575,19900.0
2022-01-08 17:00:00+01:00,114.13400000000001,1167.1515,0.0,1054.5,57.398999999999994,19900.0
2022-01-08 18:00:00+01:00,112.95099999999996,1199.846,0.0,1103.71,36.80400000000001,19900.0
2022-01-08 19:00:00+01:00,90.17999999999996,1239.2585,0.0,1166.98,32.10599999999998,19900.0
2022-01-08 20:00:00+01:00,13.063,1225.4995000000001,0.0,1209.16,86.66499999999996,19900.0
2022-01-08 21:00:00+01:00,17.575,1276.651,0.0,1244.31,2.5180000000000007,19900.0
2022-01-08 22:00:00+01:00,24.605,1309.0610000000001,0.0,1286.49,0.0,19900.0
2022-01-08 23:00:00+01:00,31.635,1353.7805,0.0,1328.67,0.0,19900.0
2022-01-09 00:00:00+01:00,38.665,1404.6750000000002,0.0,1370.8500000000001,0.0,19900.0
2022-01-09 01:00:00+01:00,49.21,1443.2910000000002,0.0,1384.91,0.0,19900.0
2022-01-09 02:00:00+01:00,63.27,1464.6330000000003,0.0,1398.97,0.0,19900.0
2022-01-09 03:00:00+01:00,79.0875,1484.6670000000001,0.0,1406.0,0.0,19900.0
2022-01-09 04:00:00+01:00,100.1775,1491.6970000000001,0.0,1406.0,0.0,19900.0
2022-01-09 05:00:00+01:00,127.32349999999994,1498.727,0.0,1406.0,0.0,19900.0
2022-01-09 06:00:00+01:00,139.6005,1499.701,0.0,1391.94,6.055999999999969,19900.0
2022-01-09 07:00:00+01:00,74.8455,1407.553,0.0,1363.82,99.17800000000001,19900.0
2022-01-09 08:00:00+01:00,150.9115,1411.795,0.0,1356.79,2.7879999999999967,19900.0
2022-01-09 09:00:00+01:00,226.21900000000008,1381.0385,0.0,1307.5800000000002,33.159,19900.0
2022-01-09 10:00:00+01:00,242.4660000000001,1311.237,0.0,1209.16,69.80150000000009,19900.0
2022-01-09 11:00:00+01:00,214.86950000000002,1207.778,0.0,1117.77,108.89600000000009,19900.0
2022-01-09 12:00:00+01:00,188.44099999999997,1135.1895,0.0,1047.47,83.05700000000006,19900.0
2022-01-09 13:00:00+01:00,95.76150000000007,1030.149,0.0,1047.47,142.74599999999998,19900.0
2022-01-09 14:00:00+01:00,64.29950000000007,985.1659999999998,0.0,1019.35,72.91400000000007,19900.0
2022-01-09 15:00:00+01:00,71.07699999999998,954.0789999999997,0.0,977.1700000000001,57.269500000000065,19900.0
2022-01-09 16:00:00+01:00,67.21749999999997,942.8499999999997,0.0,949.0500000000001,32.411999999999985,19900.0
2022-01-09 17:00:00+01:00,8.934500000000021,928.5009999999997,0.0,970.14,67.21749999999997,19900.0
2022-01-09 18:00:00+01:00,10.298999999999978,998.0764999999997,0.0,1054.5,5.419500000000021,19900.0
2022-01-09 19:00:00+01:00,11.196499999999972,1073.1249999999998,0.0,1152.92,10.298999999999978,19900.0
2022-01-09 20:00:00+01:00,5.2725,1154.4549999999997,0.0,1216.19,11.196499999999972,19900.0
2022-01-09 21:00:00+01:00,7.029999999999973,1225.5714999999998,0.0,1279.46,5.2725,19900.0
2022-01-09 22:00:00+01:00,0.0,1294.8234999999997,0.0,1349.76,7.029999999999973,19900.0
2022-01-09 23:00:00+01:00,0.0,1349.3104999999998,0.0,1377.88,0.0,19900.0
2022-01-10 00:00:00+01:00,7.03,1377.0954999999997,0.0,1384.91,0.0,19900.0
2022-01-10 01:00:00+01:00,14.06,1394.6704999999997,0.0,1391.94,0.0,19900.0
2022-01-10 02:00:00+01:00,28.12,1411.3789999999997,0.0,1398.97,0.0,19900.0
2022-01-10 03:00:00+01:00,48.64649999999993,1436.7324999999998,0.0,1406.0,0.0,19900.0
2022-01-10 04:00:00+01:00,75.57249999999999,1442.9464999999998,0.0,1398.97,8.223999999999933,19900.0
2022-01-10 05:00:00+01:00,169.83,1445.994,0.0,1398.97,0.0,19900.0
2022-01-10 06:00:00+01:00,290.708,1420.2789999999998,0.0,1363.82,25.715000000000018,19900.0
2022-01-10 07:00:00+01:00,246.15650000000005,1266.6559999999997,0.0,1216.19,153.62300000000005,19900.0
2022-01-10 08:00:00+01:00,177.3455,1092.5569999999998,0.0,1054.5,174.09900000000005,19900.0
2022-01-10 09:00:00+01:00,208.57149999999996,1031.2064999999998,0.0,942.02,64.8655,19900.0
2022-01-10 10:00:00+01:00,165.18700000000004,929.9254999999998,0.0,808.45,103.12149999999997,19900.0
2022-01-10 11:00:00+01:00,131.88149999999996,848.5624999999998,0.0,724.09,94.88700000000003,19900.0
2022-01-10 12:00:00+01:00,124.58800000000005,851.4054999999998,0.0,745.1800000000001,40.491499999999945,19900.0
2022-01-10 13:00:00+01:00,88.22050000000002,823.6139999999998,0.0,710.03,56.045500000000054,19900.0
2022-01-10 14:00:00+01:00,84.79199999999999,841.9234999999998,0.0,752.21,19.678000000000026,19900.0
2022-01-10 15:00:00+01:00,30.46249999999999,818.4049999999997,0.0,850.63,81.27699999999999,19900.0
2022-01-10 16:00:00+01:00,31.424500000000055,873.0654999999997,0.0,934.99,28.70499999999999,19900.0
2022-01-10 17:00:00+01:00,48.72499999999997,933.4334999999998,0.0,1005.2900000000001,15.607000000000056,19900.0
2022-01-10 18:00:00+01:00,44.761499999999955,999.2294999999997,0.0,1061.53,32.90749999999997,19900.0
2022-01-10 19:00:00+01:00,32.856,1083.8529999999998,0.0,1110.74,30.701499999999957,19900.0
2022-01-10 20:00:00+01:00,10.696499999999993,1145.2964999999997,0.0,1117.77,31.0985,19900.0
2022-01-10 21:00:00+01:00,27.930000000000003,1259.8059999999998,0.0,1223.22,1.908999999999992,19900.0
2022-01-10 22:00:00+01:00,44.753999999999984,1336.1584999999998,0.0,1251.3400000000001,3.325000000000003,19900.0
2022-01-10 23:00:00+01:00,59.755,1432.783,0.0,1314.6100000000001,6.088999999999984,19900.0
2022-01-11 00:00:00+01:00,82.6025,1508.5264999999997,0.0,1342.73,0.0,19900.0
2022-01-11 01:00:00+01:00,119.51,1560.6789999999999,0.0,1370.8500000000001,1.7575,19900.0
2022-01-11 02:00:00+01:00,178.436,1620.3674999999998,0.0,1384.91,8.7875,19900.0
2022-01-11 03:00:00+01:00,227.9385,1679.2374999999997,0.0,1398.97,23.77600000000001,19900.0
2022-01-11 04:00:00+01:00,275.9275,1705.3199999999997,0.0,1384.91,53.946,19900.0
2022-01-11 05:00:00+01:00,402.945,1740.4699999999998,0.0,1384.91,49.21,19900.0
2022-01-11 06:00:00+01:00,496.0185,1726.5774999999996,0.0,1356.79,107.685,19900.0
2022-01-11 07:00:00+01:00,453.2669999999999,1563.3714999999997,0.0,1216.19,262.2710000000001,19900.0
2022-01-11 08:00:00+01:00,393.8259999999999,1389.5469999999998,0.0,1103.71,286.3044999999999,19900.0
2022-01-11 09:00:00+01:00,397.53149999999994,1279.531,0.0,977.1700000000001,230.37849999999995,19900.0
2022-01-11 10:00:00+01:00,270.8359999999999,1078.8394999999998,0.0,836.57,330.7464999999999,19900.0
2022-01-11 11:00:00+01:00,146.5655,926.215,0.0,738.15,225.1409999999999,19900.0
2022-01-11 12:00:00+01:00,60.40099999999998,828.0405000000001,0.0,724.09,123.71799999999998,19900.0
2022-01-11 13:00:00+01:00,34.03549999999997,809.98,0.0,710.03,42.82599999999998,19900.0
2022-01-11 14:00:00+01:00,35.96649999999999,819.5835000000001,0.0,745.1800000000001,28.762999999999966,19900.0
2022-01-11 15:00:00+01:00,55.389499999999984,862.6300000000001,0.0,801.4200000000001,20.148999999999987,19900.0
2022-01-11 16:00:00+01:00,57.411999999999985,895.9830000000001,0.0,850.63,27.269499999999987,19900.0
2022-01-11 17:00:00+01:00,36.768499999999975,944.224,0.0,920.9300000000001,55.654499999999985,19900.0
2022-01-11 18:00:00+01:00,27.79599999999999,1056.8595,0.0,1026.38,31.495999999999974,19900.0
2022-01-11 19:00:00+01:00,39.46449999999997,1178.214,0.0,1124.8,27.79599999999999,19900.0
2022-01-11 20:00:00+01:00,7.581000000000003,1240.9940000000001,0.0,1166.98,35.94949999999997,19900.0
2022-01-11 21:00:00+01:00,11.318999999999974,1320.731,0.0,1244.31,4.0660000000000025,19900.0
2022-01-11 22:00:00+01:00,0.0,1426.0185000000001,0.0,1328.67,11.318999999999974,19900.0
2022-01-11 23:00:00+01:00,0.0,1507.882,0.0,1342.73,0.0,19900.0
2022-01-12 00:00:00+01:00,0.0,1562.015,0.0,1370.8500000000001,0.0,19900.0
2022-01-12 01:00:00+01:00,0.0,1586.1550000000002,0.0,1384.91,0.0,19900.0
2022-01-12 02:00:00+01:00,5.2725,1596.2530000000002,0.0,1398.97,0.0,19900.0
2022-01-12 03:00:00+01:00,20.56900000000008,1597.528,0.0,1398.97,0.0,19900.0
2022-01-12 04:00:00+01:00,32.18900000000001,1580.474,0.0,1384.91,17.05400000000008,19900.0
2022-01-12 05:00:00+01:00,115.45449999999997,1576.405,0.0,1377.88,7.584000000000003,19900.0
2022-01-12 06:00:00+01:00,201.29949999999997,1564.643,0.0,1356.79,18.791999999999966,19900.0
2022-01-12 07:00:00+01:00,146.85500000000005,1430.1285,0.0,1181.04,141.54449999999997,19900.0
2022-01-12 08:00:00+01:00,146.4885,1328.826,0.0,1082.6200000000001,104.67500000000005,19900.0
2022-01-12 09:00:00+01:00,170.65799999999996,1256.1525000000001,0.0,977.1700000000001,72.67349999999998,19900.0
2022-01-12 10:00:00+01:00,133.1699999999999,1152.2795,0.0,857.6600000000001,107.38799999999996,19900.0
2022-01-12 11:00:00+01:00,89.25599999999997,1086.582,0.0,801.4200000000001,90.9899999999999,19900.0
2022-01-12 12:00:00+01:00,107.36899999999996,1069.9625000000003,0.0,780.33,64.65099999999998,19900.0
2022-01-12 13:00:00+01:00,105.69200000000005,1058.5580000000004,0.0,787.36,72.21899999999995,19900.0
2022-01-12 14:00:00+01:00,66.32699999999998,1040.6220000000003,0.0,808.45,86.35950000000005,19900.0
2022-01-12 15:00:00+01:00,90.28000000000007,1091.6410000000003,0.0,892.8100000000001,36.449499999999986,19900.0
2022-01-12 16:00:00+01:00,34.427000000000035,1072.5150000000003,0.0,913.9,79.73500000000007,19900.0
2022-01-12 17:00:00+01:00,35.041999999999994,1112.6365000000003,0.0,956.08,25.639500000000034,19900.0
2022-01-12 18:00:00+01:00,39.160000000000004,1170.6535000000001,0.0,1040.44,35.041999999999994,19900.0
2022-01-12 19:00:00+01:00,25.062499999999993,1235.565,0.0,1103.71,33.8875,19900.0
2022-01-12 20:00:00+01:00,0.0,1317.1395000000002,0.0,1174.01,25.062499999999993,19900.0
2022-01-12 21:00:00+01:00,1.7575,1400.257,0.0,1230.25,0.0,19900.0
2022-01-12 22:00:00+01:00,11.893999999999991,1479.1205000000002,0.0,1321.64,1.7575,19900.0
2022-01-12 23:00:00+01:00,14.06,1537.756,0.0,1356.79,4.86399999999999,19900.0
2022-01-13 00:00:00+01:00,29.8775,1566.0915000000002,0.0,1370.8500000000001,0.0,19900.0
2022-01-13 01:00:00+01:00,56.24,1589.9185000000002,0.0,1384.91,0.0,19900.0
2022-01-13 02:00:00+01:00,101.3915,1620.8610000000003,0.0,1398.97,0.0,19900.0
2022-01-13 03:00:00+01:00,139.94650000000001,1617.4555000000003,0.0,1391.94,15.273999999999988,19900.0
2022-01-13 04:00:00+01:00,168.955,1596.7585000000004,0.0,1370.8500000000001,22.194000000000017,19900.0
2022-01-13 05:00:00+01:00,273.47450000000003,1587.7360000000003,0.0,1356.79,14.295000000000016,19900.0
2022-01-13 06:00:00+01:00,395.4235000000001,1537.4640000000002,0.0,1321.64,62.57450000000001,19900.0
2022-01-13 07:00:00+01:00,394.309,1416.2105000000001,0.0,1188.07,140.5860000000001,19900.0
2022-01-13 08:00:00+01:00,321.2295,1249.3285,0.0,1047.47,195.71150000000006,19900.0
2022-01-13 09:00:00+01:00,305.53850000000006,1102.0915,0.0,949.0500000000001,180.6295,19900.0
2022-01-13 10:00:00+01:00,256.9885000000001,952.9705,0.0,822.51,189.54350000000005,19900.0
2022-01-13 11:00:00+01:00,156.05449999999993,830.4789999999998,0.0,717.0600000000001,177.90100000000012,19900.0
2022-01-13 12:00:00+01:00,178.94949999999994,812.5319999999999,0.0,724.09,96.29949999999994,19900.0
2022-01-13 13:00:00+01:00,109.28349999999995,744.943,0.0,703.0,152.58699999999996,19900.0
2022-01-13 14:00:00+01:00,101.76950000000001,752.9849999999999,0.0,717.0600000000001,95.22349999999994,19900.0
2022-01-13 15:00:00+01:00,85.97899999999996,787.9174999999999,0.0,787.36,101.76950000000001,19900.0
2022-01-13 16:00:00+01:00,28.683499999999952,773.2834999999999,0.0,871.72,77.19149999999996,19900.0
2022-01-13 17:00:00+01:00,18.776500000000006,812.8709999999999,0.0,927.96,26.925999999999952,19900.0
2022-01-13 18:00:00+01:00,34.90099999999997,917.645,0.0,1061.53,15.261500000000005,19900.0
2022-01-13 19:00:00+01:00,30.835999999999984,994.8070000000001,0.0,1152.92,27.870999999999967,19900.0
2022-01-13 20:00:00+01:00,8.129999999999995,1063.9120000000003,0.0,1209.16,30.835999999999984,19900.0
2022-01-13 21:00:00+01:00,21.090000000000003,1163.1500000000003,0.0,1279.46,1.0999999999999943,19900.0
2022-01-13 22:00:00+01:00,35.150000000000006,1236.0470000000005,0.0,1321.64,7.03,19900.0
2022-01-13 23:00:00+01:00,56.24,1297.7420000000004,0.0,1370.8500000000001,14.06,19900.0
2022-01-14 00:00:00+01:00,79.0875,1344.7105000000004,0.0,1391.94,28.12,19900.0
2022-01-14 01:00:00+01:00,107.2075,1381.5600000000004,0.0,1391.94,43.9375,19900.0
2022-01-14 02:00:00+01:00,140.6,1417.6335000000004,0.0,1406.0,65.0275,19900.0
2022-01-14 03:00:00+01:00,175.86200000000005,1452.7835000000005,0.0,1406.0,86.1175,19900.0
2022-01-14 04:00:00+01:00,209.1425,1477.2765000000004,0.0,1384.91,117.86450000000005,19900.0
2022-01-14 05:00:00+01:00,322.3275,1512.4265000000003,0.0,1384.91,128.2975,19900.0
2022-01-14 06:00:00+01:00,466.20849999999996,1516.8270000000002,0.0,1356.79,174.69750000000002,19900.0
2022-01-14 07:00:00+01:00,401.55949999999996,1326.5460000000003,0.0,1131.83,378.33349999999996,19900.0
2022-01-14 08:00:00+01:00,320.14500000000004,1144.6740000000004,0.0,970.14,306.6544999999999,19900.0
2022-01-14 09:00:00+01:00,211.16299999999995,961.1975000000003,0.0,864.69,253.36000000000007,19900.0
2022-01-14 10:00:00+01:00,142.29800000000006,851.0110000000003,0.0,731.12,183.04299999999995,19900.0
2022-01-14 11:00:00+01:00,132.74450000000004,807.7900000000002,0.0,695.97,121.20800000000006,19900.0
2022-01-14 12:00:00+01:00,45.74099999999997,716.8280000000002,0.0,667.85,109.89700000000003,19900.0
2022-01-14 13:00:00+01:00,33.407500000000034,709.4010000000003,0.0,667.85,35.19599999999997,19900.0
2022-01-14 14:00:00+01:00,29.17,725.9125000000001,0.0,731.12,17.590000000000032,19900.0
2022-01-14 15:00:00+01:00,22.207499999999975,764.8360000000001,0.0,829.5400000000001,25.655,19900.0
2022-01-14 16:00:00+01:00,27.41650000000002,804.2690000000002,0.0,913.9,20.449999999999974,19900.0
2022-01-14 17:00:00+01:00,10.308999999999969,861.0005000000002,0.0,956.08,25.65900000000002,19900.0
2022-01-14 18:00:00+01:00,22.78849999999996,936.1300000000002,0.0,1012.32,10.308999999999969,19900.0
2022-01-14 19:00:00+01:00,35.8965,1047.6910000000003,0.0,1110.74,8.728499999999961,19900.0
2022-01-14 20:00:00+01:00,10.544999999999987,1160.0040000000001,0.0,1223.22,35.8965,19900.0
2022-01-14 21:00:00+01:00,14.311999999999996,1256.4735,0.0,1279.46,3.5149999999999864,19900.0
2022-01-14 22:00:00+01:00,17.575,1328.679,0.0,1335.7,3.766999999999996,19900.0
2022-01-14 23:00:00+01:00,29.8775,1385.5755000000001,0.0,1377.88,0.0,19900.0
2022-01-15 00:00:00+01:00,43.9375,1418.593,0.0,1384.91,0.0,19900.0
2022-01-15 01:00:00+01:00,65.0275,1443.15,0.0,1391.94,0.0,19900.0
2022-01-15 02:00:00+01:00,86.1175,1459.8245,0.0,1406.0,0.0,19900.0
2022-01-15 03:00:00+01:00,110.7225,1471.1625000000001,0.0,1406.0,0.0,19900.0
2022-01-15 04:00:00+01:00,141.744,1478.1925,0.0,1406.0,0.0,19900.0
2022-01-15 05:00:00+01:00,184.46,1480.5635,0.0,1398.97,4.658999999999992,19900.0
2022-01-15 06:00:00+01:00,237.69349999999997,1479.5285000000001,0.0,1391.94,5.195000000000007,19900.0
2022-01-15 07:00:00+01:00,273.421,1458.0075000000002,0.0,1363.82,21.520999999999987,19900.0
2022-01-15 08:00:00+01:00,294.624,1369.124,0.0,1349.76,88.8835,19900.0
2022-01-15 09:00:00+01:00,388.1339999999999,1332.3200000000002,0.0,1321.64,38.02900000000005,19900.0
2022-01-15 10:00:00+01:00,327.4664999999999,1156.8435000000002,0.0,1209.16,175.4764999999999,19900.0
2022-01-15 11:00:00+01:00,258.4525000000001,1025.9510000000002,0.0,1082.6200000000001,135.8989999999999,19900.0
2022-01-15 12:00:00+01:00,143.14299999999997,862.7600000000002,0.0,998.26,172.3350000000001,19900.0
2022-01-15 13:00:00+01:00,78.32249999999999,775.6470000000003,0.0,977.1700000000001,107.99299999999997,19900.0
2022-01-15 14:00:00+01:00,91.433,794.2585000000003,0.0,984.2,16.809999999999988,19900.0
2022-01-15 15:00:00+01:00,69.859,752.2390000000001,0.0,970.14,61.55550000000001,19900.0
2022-01-15 16:00:00+01:00,29.010000000000005,719.4740000000002,0.0,920.9300000000001,59.31399999999999,19900.0
2022-01-15 17:00:00+01:00,39.05150000000002,743.5255000000002,0.0,934.99,21.980000000000004,19900.0
2022-01-15 18:00:00+01:00,33.0795,764.9540000000002,0.0,998.26,30.264000000000014,19900.0
2022-01-15 19:00:00+01:00,25.188499999999966,803.7905000000002,0.0,1033.41,33.0795,19900.0
2022-01-15 20:00:00+01:00,26.3625,857.1550000000001,0.0,1082.6200000000001,25.188499999999966,19900.0
2022-01-15 21:00:00+01:00,34.059499999999986,938.5370000000001,0.0,1209.16,26.3625,19900.0
2022-01-15 22:00:00+01:00,0.0,999.9935,0.0,1286.49,34.059499999999986,19900.0
2022-01-15 23:00:00+01:00,0.0,1082.0155000000002,0.0,1335.7,0.0,19900.0
2022-01-16 00:00:00+01:00,0.0,1125.4780000000003,0.0,1356.79,0.0,19900.0
2022-01-16 01:00:00+01:00,0.0,1148.0220000000002,0.0,1384.91,0.0,19900.0
2022-01-16 02:00:00+01:00,0.0,1176.9675000000002,0.0,1406.0,0.0,19900.0
2022-01-16 03:00:00+01:00,3.515,1198.7230000000002,0.0,1406.0,0.0,19900.0
2022-01-16 04:00:00+01:00,10.545,1212.7830000000001,0.0,1406.0,0.0,19900.0
